Título,Autor,F/M,Editora,Data de publicação,Categoria,Idioma,Numero de páginas,Nacionalidade,Gênero,GPS
Perto do coração selvagem,Clarice Lispector,F,Rocco,1943,Romance,Português,206,Brasil,Literatura brasileira,SP
O lustre,Clarice Lispector,F,Rocco,1946,Romance,Português,294,Brasil,Literatura brasileira,SP
A cidade sitiada,Clarice Lispector,F,Rocco,1949,Romance,Português,207,Brasil,Literatura brasileira,SP
Laços de familia,Clarice Lispector,F,Rocco,1960,Contos e crônicas,Português,143,Brasil,Literatura brasileira,SP
A maçã no escuro,Clarice Lispector,F,Rocco,1961,Romance,Português,398,Brasil,Literatura brasileira,SP
A legião estrangeira,Clarice Lispector,F,Rocco,1964,Contos e crônicas,Português,126,Brasil,Literatura brasileira,SP
A paixão segundo GH,Clarice Lispector,F,Rocco,1964,Romance,Português,188,Brasil,Literatura brasileira,SP
Uma aprendizagem ou o livro dos prazeres,Clarice Lispector,F,Rocco,1969,Romance,Português,158,Brasil,Literatura brasileira,SP
Felicidade clandestina,Clarice Lispector,F,Rocco,1971,Contos e crônicas,Português,159,Brasil,Literatura brasileira,SP
Água viva,Clarice Lispector,F,Rocco,1973,Romance,Português,93,Brasil,Literatura brasileira,SP
Onde estivestes de noite,Clarice Lispector,F,Rocco,1974,Contos e crônicas,Português,110,Brasil,Literatura brasileira,SP
A via crucis do corpo,Clarice Lispector,F,Rocco,1974,Contos e crônicas,Português,79,Brasil,Literatura brasileira,SP
A hora da estrela,Clarice Lispector,F,Rocco,1977,Romance,Português,87,Brasil,Literatura brasileira,SP
Para não esquecer,Clarice Lispector,F,Rocco,1978,Contos e crônicas,Português,156,Brasil,Literatura brasileira,SP
Um sopro de vida ,Clarice Lispector,F,Rocco,1978,Romance,Português,190,Brasil,Literatura brasileira,SP
A bela e a fera,Clarice Lispector,F,Rocco,1979,Contos e crônicas,Português,124,Brasil,Literatura brasileira,SP
A descoberta do mundo,Clarice Lispector,F,Rocco,1984,Contos e crônicas,Português,624,Brasil,Literatura brasileira,SP
Todos os contos - Clarice Lispector,Clarice Lispector,F,Rocco,2016,Contos e crônicas,Português,654,Brasil,Literatura brasileira,SP
Todas as crônicas - Clarice Lispector,Clarice Lispector,F,Rocco,2016,Contos e crônicas,Português,702,Brasil,Literatura brasileira,SP
Todas as cartas - Clarice Lispector,Clarice Lispector,F,Rocco,2020,Cartas,Português,957,Brasil,Literatura brasileira,SP
Mulheres que correm com os lobos,Clarissa Pinkola Estés,F,Rocco,2018,Antropologia,Português,576,Estados Unidos,Ensaio,BA
A divina comédia - Inferno,Dante Alighieri,M,Principis,1320,Romance,Português,240,Itália,Poesia,SP
A divina comédia - Purgatório,Dante Alighieri,M,Principis,1320,Romance,Português,240,Itália,Poesia,SP
A divina comédia - Paraíso,Dante Alighieri,M,Principis,1320,Romance,Português,237,Itália,Poesia,SP
